target,r2_clip_raw,r2_clip_centered,r2_broadcast_raw,r2_broadcast_centered,r2_shot_raw,r2_shot_centered
luminance_mean,0.9215414643287658,0.9168827652931213,0.9542815685272217,0.9544100880622863,0.10839402675628662,-0.0013266563415527343
contrast_rms,0.8172451615333557,0.7995109796524048,0.8690555930137634,0.8692815661430359,-0.010217666625976562,0.014595890045166015
saturation_mean,0.9309562087059021,0.9313201904296875,0.9584364771842957,0.9584349155426025,-0.026663219928741454,-0.08703662157058716
edge_density,0.8644430994987488,0.8620200634002686,0.7967786192893982,0.7956800818443298,-0.06524670124053955,-0.10431853532791138
spatial_freq_energy,0.7404068112373352,0.7339347243309021,0.8159119963645936,0.8190513849258423,0.34786683320999146,0.3797610282897949
entropy,0.8238291263580322,0.8066888093948364,0.9010499835014343,0.8985727667808533,0.0976223111152649,0.0843469738960266
motion_energy,0.464381206035614,0.44683260917663575,0.28921759128570557,0.2930395007133484,0.19909441471099854,0.209776771068573
n_objects,0.8512625694274902,0.8546308517456055,0.8203114867210388,0.8190279603004456,-1.1229641556739807,-1.87459956407547
n_faces,0.6893277406692505,0.6900876998901367,0.5927626371383667,0.5934616565704346,-1.8982170581817628,-1.8673535585403442
face_area_frac,0.7858947038650512,0.7819665908813477,0.7650247812271118,0.7633426547050476,-5.210334825515747,-5.417947602272034
depth_mean,0.8562550187110901,0.850610327720642,0.8570625901222229,0.8569335460662841,-0.28925400972366333,-0.23718037605285644
depth_std,0.8196413397789002,0.8310588002204895,0.8412766814231872,0.8416739106178284,-0.6252428412437439,-0.49302637577056885
scene_natural_score,0.8630844116210937,0.8568544507026672,0.8710509419441224,0.8702711343765259,-0.06020389795303345,-0.21778844594955443
scene_open_score,0.7635709881782532,0.7647097110748291,0.8309980034828186,0.8326416492462159,-0.5977187633514405,-0.5998833179473877
position_in_movie,0.9976240038871765,0.9975475192070007,0.9952998995780945,0.995301878452301,0.5553383588790893,0.34104653596878054
narrative_event_score,0.31911141872406007,0.3180485129356384,0.12971196174621583,0.13635213375091554,-0.3179697751998901,-0.4355002880096436
