target,r2_frame,r2_frame_std,r2_broadcast,r2_broadcast_std,r2_shot,r2_shot_std,r2_shot_pca,r2_shot_pca_std,delta_bcast_minus_frame,n_frame,n_shot
luminance_mean,0.983433973789215,0.0012489597450521944,0.9732204794883728,0.005734317052771698,0.3643134593963623,0.32685908749784454,0.20034518241882324,0.36426221126057184,-0.010213494300842285,4877,54
contrast_rms,0.9686496615409851,0.0022646246842650507,0.9203588247299195,0.00739102666700945,0.07644438743591309,0.17861185768815316,0.053832066059112546,0.1081248647921293,-0.04829083681106561,4877,54
saturation_mean,0.9871665596961975,0.001832397328717981,0.9791845083236694,0.0028749018035573166,-0.2556068658828735,0.4571938268549233,-0.2631047129631042,0.5580120652061584,-0.007982051372528054,4877,54
edge_density,0.972074007987976,0.002522144134117951,0.9487372040748596,0.0024347162265545164,0.5006964087486268,0.3263942653643484,0.27536807060241697,0.3344262276475692,-0.023336803913116433,4877,54
spatial_freq_energy,0.984123694896698,0.0031325179114207948,0.7433488607406616,0.02846883028968524,-2.596417236328125,3.218682884674945,-2.985498344898224,4.172451763282939,-0.2407748341560364,4877,54
entropy,0.9926313519477844,0.0008525106620269937,0.9822210669517517,0.003777415829142562,-0.5325369358062744,1.312556122953575,-0.5239094495773315,0.9836267220818,-0.010410284996032693,4877,54
motion_energy,0.5575833082199096,0.07052822019097625,0.3472936153411865,0.054107584632415995,-0.5464625597000122,1.6991786333246217,-0.6984417796134949,2.0372619845445588,-0.21028969287872312,4877,54
n_objects,0.8251320719718933,0.018642578450387224,0.8025061607360839,0.03175265504999336,0.44274985790252686,0.22181360055719535,0.38478615283966067,0.1489366820069658,-0.02262591123580937,4877,54
n_faces,0.8501446485519409,0.006377535472210544,0.7837106585502625,0.01896291470697697,0.7379528045654297,0.11202811222481611,0.7551475405693054,0.10141314093616323,-0.06643399000167849,4877,54
face_area_frac,0.817123019695282,0.012002168842628674,0.7946758151054383,0.01830484421882166,0.16037604808807374,0.5078839394117854,0.27616903781890867,0.3237958961957076,-0.022447204589843728,4877,54
depth_mean,0.8900487184524536,0.00680073218530372,0.7758160591125488,0.015205682820732125,0.07666419744491577,0.23028894744514924,0.058977055549621585,0.2234564427041078,-0.11423265933990479,4877,54
depth_std,0.9478251338005066,0.00578514085375049,0.9377108812332153,0.010034350659972298,0.010742902755737305,0.476184389980271,0.010461556911468505,0.40745334203308126,-0.01011425256729126,4877,54
scene_natural_score,0.9996064662933349,1.5784075234405572e-05,0.6838940024375916,0.011395180639450983,0.36027241945266725,0.23539807952098057,0.33228861093521117,0.22110546271652598,-0.31571246385574336,4877,54
scene_open_score,0.999708640575409,1.7942697026359566e-05,0.7838038802146912,0.014017008843120127,0.7358673214912415,0.12431220075668913,0.6970794081687928,0.1391785193780754,-0.21590476036071782,4877,54
position_in_movie,0.9773547649383545,0.001246576337352753,0.9958605527877807,0.00020065315832654918,0.20284249782562255,0.22415335464754393,0.23187401294708251,0.13881392502082845,0.018505787849426247,4877,54
narrative_event_score,0.15450924634933472,0.032504388662991136,0.0439919114112854,0.01637224510657977,0.01399918794631958,0.505257301514597,-0.020397818088531493,0.6196519971046617,-0.11051733493804931,4877,54
