shot_id,n_clips,within_cos_mean,within_cos_min,nearest_other_shot,nearest_other_cos,margin
0,15,0.9880497445229156,0.9687574365256061,1,0.9335734516245704,0.05447629289834521
1,7,0.9692026424702899,0.9034850506285448,2,0.9417888215665061,0.027413820903783748
2,10,0.97419063324538,0.8888125867238064,3,0.9805588315434426,-0.006368198298062566
3,10,0.9947646724976241,0.9874273334266671,2,0.9805588315434426,0.014205840954181537
4,8,0.971414480802979,0.9170537310493163,3,0.9347554279717647,0.03665905283121429
5,19,0.9401643138174284,0.8069696719138066,3,0.9546559207424371,-0.014491606925008726
6,4,0.7713180208686655,0.5870066791539598,8,0.2704221061516373,0.5008959147170282
7,7,0.9853166776579805,0.9732284970591468,10,0.9090379239242434,0.07627875373373705
8,6,0.6597428877053816,0.17812949262927966,9,0.9113701482920997,-0.25162726058671814
9,7,0.6246095566388342,0.09196051171479655,8,0.9113701482920997,-0.2867605916532655
10,5,0.993801442603114,0.9872942522000547,11,0.9346967217639564,0.05910472083915763
11,4,0.9819397652090205,0.967380827046427,10,0.9346967217639564,0.04724304344506414
12,14,0.7563304935781646,0.48033093682422046,24,0.4565088964116427,0.2998215971665219
13,4,0.9889491302787151,0.9821752639587665,23,0.8882341768478251,0.10071495343088999
14,8,0.8987899278422473,0.7439617571759312,15,0.6774671329556852,0.22132279488656215
15,3,0.9703363717211997,0.9557956922384502,16,0.8931576469124113,0.0771787248087884
16,2,0.9959810528045645,0.9959810528045644,17,0.9420362091286337,0.053944843675930776
17,4,0.9864433004366829,0.9712382650512469,16,0.9420362091286337,0.04440709130804921
18,4,0.983117465692834,0.966126643251747,23,0.8990329478859358,0.08408451780689818
19,10,0.934465241522395,0.872686844193252,20,0.8743915184556552,0.06007372306673975
20,3,0.9923427351687287,0.9889131086945828,21,0.9526048257159972,0.03973790945273148
21,2,0.9938520935811874,0.9938520935811874,22,0.9736524820048557,0.020199611576331766
22,3,0.9971421946238577,0.9957413676193352,21,0.9736524820048557,0.023489712619002012
23,4,0.975647475193138,0.9579424818877916,22,0.9043925959964205,0.07125487919671747
24,9,0.8577544271226379,0.5890081532169281,19,0.7172458980921428,0.14050852903049516
25,6,0.9509783641840738,0.844917264801639,26,0.895331931252414,0.05564643293165983
26,5,0.9800247213254932,0.9510133739270079,27,0.9380347176104917,0.0419900037150015
27,11,0.9647838090139494,0.8823377710616428,26,0.9380347176104917,0.026749091403457714
28,9,0.5737707064307808,0.3099979459813134,36,0.7288558341354827,-0.15508512770470195
29,6,0.8484056747698006,0.44924627731478434,30,0.866087339342795,-0.01768166457299447
30,1,1.0,1.0,31,0.9900546645954806,0.009945335404519362
31,1,1.0,1.0,30,0.9900546645954806,0.009945335404519362
32,2,0.9579079101677074,0.9579079101677073,31,0.8099883352547117,0.14791957491299568
33,3,0.9645899917015314,0.9446162663301995,34,0.7864255556171218,0.17816443608440957
34,6,0.913389217992557,0.8048578044599544,22,0.8180893597323606,0.09529985826019638
35,6,0.8503307100810827,0.5896986122113235,36,0.9113914770914789,-0.0610607670103962
36,4,0.8797278980625609,0.78657164282556,35,0.9113914770914789,-0.03166357902891803
37,2,0.9990465715011372,0.9990465715011372,38,0.9455960159362515,0.05345055556488565
38,5,0.9894480420232981,0.9805840063061003,37,0.9455960159362515,0.043852026087046525
39,5,0.7352747232647733,-0.1704404633139806,2,0.8116462631881544,-0.07637153992338108
40,7,0.8229324827197735,0.501198591420587,5,0.6964667280815446,0.12646575463822884
41,13,0.8997706018964303,0.6798980977313667,17,0.7575925948823583,0.14217800701407202
42,9,0.8403368620089555,0.4112055420914192,39,0.7274662508818179,0.11287061112713759
43,7,0.7502784607583799,0.505959192267199,51,0.7625618637241429,-0.012283402965763024
44,4,0.9726906504533368,0.9525723452341056,49,0.7786279714744282,0.1940626789789086
45,8,0.9737729540814011,0.9211359767673236,50,0.9104868021384506,0.06328615194295051
46,10,0.9610762193990787,0.8903211207867412,47,0.9415478324897124,0.019528386909366313
47,7,0.9670131693378144,0.9148575846113596,46,0.9415478324897124,0.025465336848102038
48,6,0.9427123030375628,0.8808364896584747,49,0.9656905201935226,-0.022978217155959824
49,6,0.9706883940113116,0.9286086628303896,48,0.9656905201935226,0.004997873817788934
50,4,0.9948098180403828,0.9892988911966025,52,0.9615455481875158,0.03326426985286701
51,6,0.7849743383563373,0.32816582147671663,43,0.7625618637241429,0.022412474632194423
52,13,0.8834024897551985,0.052844943247297445,50,0.9615455481875158,-0.07814305843231728
53,62,0.8899641624572002,0.6242545501079071,11,0.6685338201503046,0.22143034230689562
