target,r2_clip,r2_clip_std,r2_broadcast,r2_broadcast_std,r2_shot,r2_shot_std,r2_shot_pca,r2_shot_pca_std,delta_bcast_minus_clip,n_clip,n_shot
luminance_mean,0.9660308718681335,0.004544456048100596,0.9503104209899902,0.02029868901701949,0.500780463218689,0.25452402176629807,0.5010944247245789,0.25304198216194973,-0.015720450878143333,406,54
contrast_rms,0.8756556630134582,0.023476741707598038,0.890112578868866,0.029453926756019152,0.12438383102416992,0.256626513374867,0.0950758695602417,0.3372517913139123,0.01445691585540776,406,54
saturation_mean,0.9693736910820008,0.007419294573056508,0.9558234691619873,0.004912964415185568,0.009307301044464112,0.2657750187512578,0.005233561992645264,0.2726115601366535,-0.013550221920013428,406,54
edge_density,0.8699628829956054,0.015209840365776063,0.8973729491233826,0.03715392608315906,-0.12035940885543824,0.17857637255319053,-0.1186835527420044,0.17560540703622735,0.02741006612777719,406,54
spatial_freq_energy,0.928965711593628,0.03902783317030691,0.525571060180664,0.47829227987729706,-5.2078949332237245,7.9052248669390375,-4.3295916557312015,5.918088662807227,-0.40339465141296393,406,54
entropy,0.9696393966674804,0.021055489052502107,0.9552206158638,0.026978453024726425,-0.093159019947052,0.3843780979180808,-0.18212379217147828,0.37352179631728333,-0.01441878080368042,406,54
motion_energy,0.6425429344177246,0.10119334201384492,0.31920212507247925,0.12538049458679576,0.02966916561126709,0.4114750854954813,-0.12046645879745484,0.7591497519874588,-0.32334080934524534,406,54
n_objects,0.5158748269081116,0.15121271824087756,0.7374307155609131,0.2027643617167089,-0.19267659187316893,0.36653258663441995,-0.19551140069961548,0.3829566931368529,0.2215558886528015,406,54
n_faces,0.7174504399299622,0.03891678689432739,0.8211196780204773,0.04359894423330176,-0.2149334192276001,0.15537573565088073,-0.16299374103546144,0.16605728579381718,0.10366923809051509,406,54
face_area_frac,0.7966251134872436,0.054991083895946605,0.8233425378799438,0.05395837961447882,-1.5732009410858154,2.8750386268563304,-4.151123666763306,8.032067612951987,0.026717424392700195,406,54
depth_mean,0.721383786201477,0.06890501267946712,0.7500600337982177,0.018832334980302397,-0.12478514909744262,0.1781300053377038,-0.14177453517913818,0.19861356602876337,0.0286762475967407,406,54
depth_std,0.8654868006706238,0.03344047943774559,0.9052307486534119,0.03317171812370837,-0.47833614349365233,0.681347394958539,-0.18765199184417725,0.24626746948931777,0.03974394798278813,406,54
scene_natural_score,0.6693649888038635,0.08142644431424623,0.6410575151443482,0.04816442660987017,-0.11925433874130249,0.10301651756150174,-0.12418248653411865,0.10604198261573014,-0.02830747365951536,406,54
scene_open_score,0.756181252002716,0.034779696813406744,0.738862669467926,0.055675357218234495,-0.5753762722015381,1.0071582071623573,-0.4418321132659912,0.7409256883920168,-0.017318582534790017,406,54
position_in_movie,0.9972243666648865,0.002429058431398553,0.9956281065940857,0.0010559833211741447,0.6691093921661377,0.14870658072710508,0.6553744316101074,0.16574209165150547,-0.0015962600708007146,406,54
narrative_event_score,0.4092929244041443,0.11633863282688231,0.20323554277420045,0.07781858048051228,0.2425493121147156,0.22597765440278,0.2264939308166504,0.21990834991592415,-0.20605738162994383,406,54
