target,r2_clip,r2_broadcast_shot,r2_broadcast_scene,r2_shot_pca20,r2_scene_pca20
luminance_mean,0.9660308897319817,0.9503104192889695,0.8355052749059464,0.5010989806305299,0.3818388003160463
contrast_rms,0.8756556859299749,0.8901125843727907,0.7123194754340606,0.09522483447268144,-0.32720914291020786
saturation_mean,0.9693737094853032,0.9558234654681129,0.6701742670517785,0.0052847643957851355,-0.374239628861537
edge_density,0.8699628802096064,0.8973729631335757,0.5703082434000251,-0.11865298712155958,-0.36784344332879043
spatial_freq_energy,0.9289657296518596,0.5255711468275996,-0.013896218339717593,-4.329662510501866,-0.19199398490459177
entropy,0.9696394114992681,0.9552206232944828,0.6024615323566711,-0.18222154368927374,-0.4868875026576628
motion_energy,0.6425429404223799,0.31920213371348904,0.2857288278223405,-0.12051358138851538,-0.6641824677394342
n_objects,0.5158747833760365,0.7374306402564047,0.34394020926258373,-0.19549112614007969,-3.8813674050718574
n_faces,0.7174504652704998,0.8211197003268961,0.5119919271020541,-0.16298531226449206,-0.8519958265391278
face_area_frac,0.7966250842736246,0.82334254438641,0.3378301612323706,-4.151035609520034,0.027364685977650027
depth_mean,0.7213837795187944,0.7500600473201344,0.3773674218678275,-0.1417814902189344,-0.2805782320005856
depth_std,0.8654868060640378,0.9052307449353896,0.5730568379778579,-0.18771472987284285,-0.29957153304236595
scene_natural_score,0.669364973795019,0.6410575108816229,0.46233317853304284,-0.12422171770862411,-0.22760715706837295
scene_open_score,0.7561812592585364,0.7388626713855931,0.4033979948165919,-0.44180026377019105,-0.3743570528021062
position_in_movie,0.9972243656212643,0.9956281017377039,0.9929531964982008,0.6554498246923892,-0.09005979937431179
narrative_event_score,0.409292900142303,0.2032355546947829,0.20304655144290046,0.22637809760268474,-0.7884683575447078
