target,kind,r2_mean,r2_std,n,pearson_train
luminance_mean,regression,0.9660308718681335,0.004544456048100596,406,0.9993736851916161
contrast_rms,regression,0.8756556630134582,0.023476741707598038,406,0.9953296276269271
saturation_mean,regression,0.9693736910820008,0.007419294573056508,406,0.9986521972550249
edge_density,regression,0.8699628829956054,0.015209840365776063,406,0.9977238847972614
spatial_freq_energy,regression,0.928965711593628,0.03902783317030691,406,0.9961822642039564
entropy,regression,0.9696393966674804,0.021055489052502107,406,0.999784263771908
motion_energy,regression,0.6425429344177246,0.10119334201384492,406,0.9634731774300137
n_objects,regression,0.5158748269081116,0.15121271824087756,406,0.9322768668400647
n_faces,regression,0.7174504399299622,0.03891678689432739,406,0.9670457918314924
face_area_frac,regression,0.7966251134872436,0.054991083895946605,406,0.9959985198432415
depth_mean,regression,0.721383786201477,0.06890501267946712,406,0.9852856844792842
depth_std,regression,0.8654868006706238,0.03344047943774559,406,0.9977974741389453
scene_natural_score,regression,0.6693649888038635,0.08142644431424623,406,0.981064819432604
scene_open_score,regression,0.756181252002716,0.034779696813406744,406,0.9691070674995713
position_in_movie,regression,0.9972243666648865,0.002429058431398553,406,0.9999712013638875
narrative_event_score,regression,0.4092929244041443,0.11633863282688231,406,0.8725047320023271
shot_id,classification,0.8792231255645889,0.021584737394532538,406,
